"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 5
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\capacitor.config.json", "JSON", 6, 0, 0, 0, 0, 2, 8
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\jest.config.js", "JavaScript", 0, 5, 0, 0, 0, 1, 6
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\package-lock.json", "JSON", 13274, 0, 0, 0, 0, 1, 13275
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\package.json", "JSON", 56, 0, 0, 0, 0, 1, 57
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\Backend.js", "JavaScript", 0, 309, 0, 0, 18, 57, 384
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\Entidades\Estudiantes.js", "JavaScript", 0, 34, 0, 0, 0, 4, 38
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\Entidades\Examen.js", "JavaScript", 0, 23, 0, 0, 0, 3, 26
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\Entidades\Preguntas.js", "JavaScript", 0, 34, 0, 0, 0, 4, 38
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\Entidades\Resultados.js", "JavaScript", 0, 38, 0, 0, 1, 4, 43
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\Entidades\Seguimiento.js", "JavaScript", 0, 9, 0, 0, 0, 3, 12
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\Entidades\Usuario.js", "JavaScript", 0, 25, 0, 0, 0, 7, 32
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\GeneracionToken.js", "JavaScript", 0, 29, 0, 0, 0, 5, 34
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\Generarllavesecreta.js", "JavaScript", 0, 3, 0, 0, 0, 1, 4
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\VerificarToken.js", "JavaScript", 0, 27, 0, 0, 8, 12, 47
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\__test__\generaciontoken.test.js", "JavaScript", 0, 26, 0, 0, 1, 5, 32
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\__test__\test-port.js", "JavaScript", 0, 6, 0, 0, 1, 2, 9
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\__test__\verificarToken.test.js", "JavaScript", 0, 37, 0, 0, 0, 10, 47
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\generacion.js", "JavaScript", 0, 867, 0, 0, 7, 24, 898
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\index.js", "JavaScript", 0, 1064, 0, 0, 83, 192, 1339
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\init_db.js", "JavaScript", 0, 26, 0, 0, 2, 5, 33
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\preload.js", "JavaScript", 0, 8, 0, 0, 0, 2, 10
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\AsignacionExamen.html", "HTML", 0, 0, 158, 0, 3, 12, 173
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\Estudiante.html", "HTML", 0, 0, 153, 0, 5, 11, 169
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\ExamenGenerado.html", "HTML", 0, 0, 203, 0, 1, 30, 234
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\Examenes.html", "HTML", 0, 0, 209, 0, 1, 7, 217
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\Login.html", "HTML", 0, 0, 135, 0, 6, 10, 151
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\Notas.html", "HTML", 0, 0, 108, 0, 1, 8, 117
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\Preguntas.html", "HTML", 0, 0, 252, 0, 1, 17, 270
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\Reporte.html", "HTML", 0, 0, 519, 0, 9, 35, 563
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\Seguimiento.html", "HTML", 0, 0, 84, 0, 2, 8, 94
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\configuracion.html", "HTML", 0, 0, 171, 0, 5, 10, 186
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\css\asignacion_examen.css", "CSS", 0, 0, 0, 150, 12, 30, 192
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\css\configuracion.css", "CSS", 0, 0, 0, 141, 0, 28, 169
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\css\estilos.css", "CSS", 0, 0, 0, 206, 4, 31, 241
"c:\Users\LENOVO\Desktop\Proyecto_Evaluacion\src\view\css\estilos2.css", "CSS", 0, 0, 0, 104, 0, 18, 122
